TYPE,ITEM,PERIOD,DETAILS,STORAGE,ITEM_DESC
FRUIT,Apricots,30.0,,SHELF,
FRUIT,Avocados,30.0,,SHELF,
FRUIT,Citrus Fruit,1.0,,SHELF,
FRUIT,Coconuts,7.0,fresh,SHELF,
FRUIT,Grapes,1.0,,SHELF,
FRUIT,Kiwi Fruit,30.0,,SHELF,
FRUIT,Melons,2.0,,SHELF,
FRUIT,Papaya,5.0,,SHELF, mango
FRUIT,Peaches,30.0,,SHELF, nectarines
FRUIT,Pears,5.0,,SHELF, Plums
VEGETABLES,Artichokes,2.0,,SHELF, whole
VEGETABLES,Beets,1.0,,SHELF,
VEGETABLES,Eggplant,1.0,,SHELF,
VEGETABLES,Garlic,30.0,,SHELF,
VEGETABLES,Ginger Root,2.0,,SHELF,
VEGETABLES,Onions,21.0,,SHELF, dry
VEGETABLES,Potatoes,60.0,,SHELF,
VEGETABLES,Rutabagas,7.0,,SHELF,
VEGETABLES,Squash,7.0,,SHELF, winter
SHELF_ITEM,Baby food,232.77,unopened,SHELF," jars or cans, fruits & vegetables"
SHELF_ITEM,Baby food,232.77,unopened,SHELF, meats & eggs
SHELF_ITEM,Baby food,232.77,unopened,SHELF," cereal, dry mixes"
SHELF_ITEM,Baby food,60.0,opened,SHELF," cereal, dry mixes"
SHELF_ITEM,Baby food,232.77,unopened,SHELF, formula
SHELF_ITEM,Bacon Bits,120.0,unopened,SHELF, Imitation
SHELF_ITEM,Bacon Bits,120.0,opened,SHELF, Imitation
SHELF_ITEM,Beans,30.0,unopened,SHELF, Dried
SHELF_ITEM,Beans,30.0,opened,SHELF, Dried
SHELF_ITEM,Canned goods,1825.0,unopened,SHELF," low acid (such as meat, poultry, fish, gravy, stew, soups, beans, carrots, corn, pasta, peas, potatoes, spinach)"
SHELF_ITEM,Canned goods,30.0,unopened,SHELF," high acid (such as juices, fruit, pickles, sauerkraut, tomato soup, and foods in vinegar-based sauce)"
SHELF_ITEM,Cereal,30.0,unopened,SHELF, ready-to-eat
SHELF_ITEM,Cereal,90.0,opened,SHELF, ready-to-eat
SHELF_ITEM,Cereal,30.0,unopened,SHELF," cook before eating (oatmeal, etc.)"
SHELF_ITEM,Cereal,30.0,opened,SHELF," cook before eating (oatmeal, etc.)"
SHELF_ITEM,Coffee,21.0,unopened,SHELF, whole beans
SHELF_ITEM,Coffee,7.0,opened,SHELF, whole beans
SHELF_ITEM,Coffee,730.0,unopened,SHELF," non-vacuum bag ground, in cans"
SHELF_ITEM,Coffee,7.0,opened,SHELF," non-vacuum bag ground, in cans"
SHELF_ITEM,Coffee,30.0,unopened,SHELF," instant, jars and tins"
SHELF_ITEM,Coffee,90.0,opened,SHELF," instant, jars and tins"
BAKING,Baking powder,180.0,unopened,SHELF,
BAKING,Baking powder,90.0,opened,SHELF,
BAKING,Baking soda,30.0,unopened,SHELF,
BAKING,Baking soda,180.0,opened,SHELF,
BAKING,Biscuit or pancake mix,30.0,unopened,SHELF,
BAKING,Biscuit or pancake mix,125.65,opened,SHELF,
BAKING,Cake,30.0,unopened,SHELF," Brownie, Bread Mixes"
BAKING,Cake,125.65,opened,SHELF," Brownie, Bread Mixes"
BAKING,Cornmeal,30.0,unopened,SHELF," regular, degerminated"
BAKING,Cornmeal,30.0,unopened,SHELF, stone ground or blue
BAKING,Cornstarch,30.0,unopened,SHELF,
BAKING,Cornstarch,30.0,opened,SHELF,
BAKING,Flour,30.0,unopened,SHELF, white
BAKING,Flour,240.0,opened,SHELF, white
BAKING,Flour,30.0,unopened,SHELF, whole wheat
BAKING,Frosting,30.0,unopened,SHELF, canned
BAKING,Frosting,90.0,opened,SHELF, canned
BAKING,Frosting,30.0,unopened,SHELF, Frosting mixes
BAKING,Frosting,90.0,opened,SHELF, Frosting mixes
BAKING,Chocolate,60.0,unopened,SHELF," unsweetened and semi-sweet, solid"
BAKING,Chocolate,365.0,opened,SHELF," unsweetened and semi-sweet, solid"
BAKING,Chocolate syrup,730.0,unopened,SHELF,
BAKING,Cocoa and Cocoa Mixes,125.65,unopened,SHELF,
BAKING,Cocoa and Cocoa Mixes,365.0,opened,SHELF,
CONDIMENTS,Barbecue sauce,30.0,unopened,SHELF, bottled
CONDIMENTS,Barbecue sauce,30.0,opened,SHELF, bottled
CONDIMENTS,Ketchup,30.0,unopened,SHELF, Cocktail or Chili sauce
CONDIMENTS,Ketchup,30.0,opened,SHELF, Cocktail or Chili sauce
CONDIMENTS,Chutney,30.0,unopened,SHELF,
CONDIMENTS,Horseradish,30.0,unopened,SHELF, in jar
CONDIMENTS,Mayonnaise,90.0,unopened,SHELF, commercial
CONDIMENTS,Mustard,30.0,unopened,SHELF,
CONDIMENTS,Mustard,30.0,opened,SHELF,
CONDIMENTS,Olives,30.0,unopened,SHELF, black and green
CONDIMENTS,Pickles,30.0,unopened,SHELF,
CONDIMENTS,Salad Dressings,30.0,unopened,SHELF," commercial, bottled"
CONDIMENTS,Salsa,30.0,unopened,SHELF, picante & taco sauces
COOKIES,Cookies,60.0,unopened,SHELF, packaged
COOKIES,Cookies,28.0,opened,SHELF, packaged
CRACKERS,Crackers,240.0,unopened,SHELF,
CRACKERS,Crackers,30.0,opened,SHELF,
SHELF_ITEM,Diet powder mixes,180.0,unopened,SHELF,
SHELF_ITEM,Diet powder mixes,90.0,opened,SHELF,
SHELF_ITEM,Extracts,1095.0,unopened,SHELF," vanilla, lemon, etc."
SHELF_ITEM,Extracts,365.0,opened,SHELF," vanilla, lemon, etc."
SHELF_ITEM,Fruits,180.0,unopened,SHELF, dried
SHELF_ITEM,Fruits,30.0,opened,SHELF, dried
SHELF_ITEM,Garlic,30.0,unopened,SHELF, chopped
SHELF_ITEM,Garlic,240.0,unopened,SHELF, commercial jars
SHELF_ITEM,Gelatin,30.0,unopened,SHELF, flavored
SHELF_ITEM,Gelatin,120.0,opened,SHELF, flavored
SHELF_ITEM,Gelatin,1095.0,unopened,SHELF, unflavored
SHELF_ITEM,Gelatin,120.0,opened,SHELF, unflavored
SHELF_ITEM,Gravy,1825.0,unopened,SHELF, jars and cans
SHELF_ITEM,Gravy,730.0,unopened,SHELF, dry gravy mixes
SHELF_ITEM,Herbs,730.0,unopened,SHELF, dried
SHELF_ITEM,Herbs,365.0,"Cool, dark place",SHELF, dried
SHELF_ITEM,Honey,30.0,unopened,SHELF,
SHELF_ITEM,Honey,30.0,opened,SHELF,
SHELF_ITEM,Jams,30.0,unopened,SHELF," jellies, preserves"
SHELF_ITEM,Jerky,30.0,unopened,SHELF, commercially dried
SHELF_ITEM,Jerky,60.0,opened,SHELF, homemade
SHELF_ITEM,Juice,180.0,unopened,SHELF, boxes
SHELF_ITEM,Lentils,30.0,unopened,SHELF, dried
SHELF_ITEM,Lentils,30.0,opened,SHELF, dried
SHELF_ITEM,Marshmallows,120.0,unopened,SHELF, marshmallow creme
SHELF_ITEM,Marshmallows,30.0,opened,SHELF, marshmallow creme
SHELF_ITEM,Milk,30.0,unopened,SHELF, canned evaporated
SHELF_ITEM,Molasses,30.0,unopened,SHELF,
SHELF_ITEM,Molasses,180.0,opened,SHELF,
SHELF_ITEM,Mushrooms,180.0,unopened,SHELF, dried
SHELF_ITEM,Mushrooms,90.0,opened,SHELF, dried
SHELF_ITEM,Oils,180.0,unopened,SHELF, olive or vegetable
SHELF_ITEM,Oils,90.0,opened,SHELF, olive or vegetable
SHELF_ITEM,Oils,180.0,unopened,SHELF, nut oils
SHELF_ITEM,Oils,730.0,unopened,SHELF, vegetable oil sprays
SHELF_ITEM,Oils,365.0,opened,SHELF, vegetable oil sprays
SHELF_ITEM,Nuts,30.0,unopened,SHELF, jars or cans
SHELF_ITEM,Nuts,30.0,opened,SHELF, jars or cans
SHELF_ITEM,Pasta,730.0,unopened,SHELF," dry, without eggs"
SHELF_ITEM,Pasta,365.0,opened,SHELF," dry, without eggs"
SHELF_ITEM,Dry egg noodles,730.0,unopened,SHELF,
SHELF_ITEM,Dry egg noodles,60.0,opened,SHELF,
SHELF_ITEM,Peanut butter,270.0,unopened,SHELF, commercial
SHELF_ITEM,Peanut butter,90.0,opened,SHELF, commercial
SHELF_ITEM,Peas,30.0,unopened,SHELF, dried split
SHELF_ITEM,Peas,30.0,opened,SHELF, dried split
SHELF_ITEM,Pectin,232.77,unopened,SHELF,
SHELF_ITEM,Pectin,30.0,opened,SHELF,
SHELF_ITEM,Popcorn,730.0,unopened,SHELF, dry kernels in jar
SHELF_ITEM,Popcorn,365.0,opened,SHELF, dry kernels in jar
SHELF_ITEM,Commercially popped in bags,90.0,unopened,SHELF,
SHELF_ITEM,Commercially popped in bags,14.0,opened,SHELF,
SHELF_ITEM,Commercially microwave packets,30.0,unopened,SHELF,
SHELF_ITEM,Commercially microwave packets,2.0,popped,SHELF,
SHELF_ITEM,Potato chips,60.0,unopened,SHELF,
SHELF_ITEM,Potato chips,14.0,opened,SHELF,
SHELF_ITEM,Potatoes,30.0,unopened,SHELF, instant
SHELF_ITEM,Potatoes,30.0,opened,SHELF, instant
SHELF_ITEM,Pudding mixes,30.0,unopened,SHELF,
SHELF_ITEM,Pudding mixes,120.0,opened,SHELF,
SHELF_ITEM,Rice,365.0,opened,SHELF, white or wild
SHELF_ITEM,Rice,365.0,unopened,SHELF, brown
SHELF_ITEM,Rice,365.0,opened,SHELF, brown
SHELF_ITEM,Rice,180.0,unopened,SHELF, flavored or herb mixes
SHELF_ITEM,Sauce mixes,730.0,unopened,SHELF," nondairy (spaghetti, taco, etc.)"
SHELF_ITEM,Sauce mixes,232.77,opened,SHELF," nondairy (spaghetti, taco, etc.)"
SHELF_ITEM,Sauce mixes,365.0,unopened,SHELF," nondairy cream sauces, milk solids"
SHELF_ITEM,Shortening,240.0,unopened,SHELF, solid
SHELF_ITEM,Shortening,90.0,opened,SHELF, solid
SHELF_ITEM,Soda such as carbonated cola drinks,90.0,unopened,SHELF," mixers: diet sodas, bottles or cans"
SHELF_ITEM,Soda such as carbonated cola drinks,7.0,opened,SHELF," mixers: diet sodas, bottles or cans"
SHELF_ITEM,Soda such as carbonated cola drinks,90.0,unopened,SHELF," mixers: regular sodas, bottles"
SHELF_ITEM,Soda such as carbonated cola drinks,14.0,opened,SHELF," mixers: regular sodas, bottles"
SHELF_ITEM,Soda such as carbonated cola drinks,270.0,unopened,SHELF," mixers: regular sodas, cans"
SHELF_ITEM,Soup mixes,30.0,unopened,SHELF, dry bouillon
SHELF_ITEM,Soup mixes,30.0,opened,SHELF, dry bouillon
SOY,Soy or rice beverage,90.0,unopened,SHELF, shelf stable
SOY,Soy or rice beverage,180.0,unopened,SHELF, soy beverage powders
SOY,Soy or rice beverage,120.0,opened,SHELF, soy beverage powders
SOY,Soy or rice beverage,365.0,unopened,SHELF," soy flour, de-fatted, low-fat"
SOY,Soy or rice beverage,365.0,opened,SHELF," soy flour, de-fatted, low-fat"
SOY,Soy or rice beverage,60.0,unopened,SHELF," soy flour, full-fat"
SOY,Soy or rice beverage,730.0,unopened,SHELF, Textured soy protein (TSP)
SOY,Soy or rice beverage,120.0,opened,SHELF, Textured soy protein (TSP)
SOY,Soy or rice beverage,120.0,unopened,SHELF, Re-hydrated TSP
SHELF_ITEM,Spaghetti sauce in jars,30.0,unopened,SHELF,
SHELF_ITEM,Spices,1460.0,unopened,SHELF, whole
SHELF_ITEM,Spices,1460.0,opened,SHELF, whole
SHELF_ITEM,Spices,1095.0,unopened,SHELF, ground
SHELF_ITEM,Spices,1095.0,opened,SHELF, ground
SHELF_ITEM,Spices,730.0,unopened,SHELF," paprika, red pepper, & chili powder"
SHELF_ITEM,Sugar,120.0,,SHELF, brown
SHELF_ITEM,Sugar,730.0,,SHELF, granulated
SHELF_ITEM,Sugar,30.0,,SHELF, confectioners
SHELF_ITEM,Sugar,730.0,,SHELF, sugar substitutes
SHELF_ITEM,Syrup,30.0,unopened,SHELF, pancake
SHELF_ITEM,Syrup,30.0,opened,SHELF, pancake
SHELF_ITEM,Syrup,30.0,unopened,SHELF, genuine or real maple
SHELF_ITEM,Tapioca,30.0,unopened,SHELF,
SHELF_ITEM,Tapioca,30.0,opened,SHELF,
SHELF_ITEM,Tea,30.0,unopened,SHELF, bags
SHELF_ITEM,Tea,30.0,opened,SHELF, bags
SHELF_ITEM,Tea,730.0,unopened,SHELF, loose
SHELF_ITEM,Tea,30.0,opened,SHELF, loose
SHELF_ITEM,Tea,1095.0,unopened,SHELF, instant
SHELF_ITEM,Tea,30.0,opened,SHELF, instant
SHELF_ITEM,Toaster pastries,180.0,unopened,SHELF, fruit filled
SHELF_ITEM,Toaster pastries,180.0,unopened,SHELF, non-fruit fillings
SHELF_ITEM,Tomatoes,30.0,unopened,SHELF," sun dried, packed in oil"
SHELF_ITEM,Tomatoes,180.0,opened,SHELF," sun dried, packed in oil"
SHELF_ITEM,Tomatoes,270.0,unopened,SHELF," sun dried, packed in cellophane"
SHELF_ITEM,Tomatoes,180.0,opened,SHELF," sun dried, packed in cellophane"
SHELF_ITEM,Vinegar,730.0,unopened,SHELF,
SHELF_ITEM,Vinegar,30.0,opened,SHELF,
SHELF_ITEM,Yeast,232.77,unopened,SHELF," dry, packets and jars"
SHELF_ITEM,Water,730.0,unopened,SHELF, bottled
SHELF_ITEM,Water,90.0,opened,SHELF, bottled
SHELF_ITEM,Worcestershire Sauce,365.0,unopened,SHELF,
SHELF_ITEM,Worcestershire Sauce,365.0,opened,SHELF,
BAKERY,Bread,4.0,,SHELF," flat (tortillas, pita)"
BAKERY,Cakes,2.0,,SHELF, angel food
BAKERY,Cakes,2.0,,SHELF," chiffon, sponge"
BAKERY,Cakes,2.0,,SHELF, chocolate
BAKERY,Cakes,30.0,,SHELF, fruit cake
BAKERY,Cakes,4.0,,SHELF, made from mix
BAKERY,Cakes,4.0,,SHELF, pound cake
BAKERY,Cookies,21.0,,SHELF, bakery or homemade
BAKERY,Croissants,1.0,,SHELF, butter
BAKERY,Doughnuts,2.0,,SHELF, glazed or cake
BAKERY,Muffins,2.0,,SHELF,
BAKERY,Pastries,2.0,,SHELF, danish
BAKERY,Pies,2.0,,SHELF, fruit
BAKERY,Pies,0.08333333333333333,,SHELF, mincemeat
BAKERY,Pies,0.08333333333333333,,SHELF, pecan
BAKERY,Pies,0.08333333333333333,,SHELF, pumpkin
BAKERY,Quiche,0.08333333333333333,,SHELF,
BAKERY,Rolls,4.0,,SHELF," yeast, baked"
BAKERY,Rolls,35.48,,SHELF," yeast, partially baked"
BAKERY,Rolls,0.08333333333333333,,SHELF," filled, meat or vegetables"
DIARY,Cheese,57.45,Do not freeze,FROZEN, processed slices
DIARY,Cottage cheese,57.45,Do not freeze,FROZEN, ricotta
DIARY,Cream cheese,57.45,Do not freeze,FROZEN,
DIARY,Cream,57.45,Do not freeze,FROZEN," whipping, ultrapasteurized"
DIARY,Aerosol can,57.45,Do not freeze,FROZEN, real whipped cream
DIARY,Aerosol can,57.45,Do not freeze,FROZEN, nondairy topping
DIARY,Dips,57.45,Do not freeze,FROZEN, sour cream based
DIARY,Egg substitutes,57.45,Do not freeze,FROZEN, liquid
DIARY,Eggs,57.45,Do not freeze,FROZEN, in shell
DIARY,Eggs,57.45,Do not freeze,FROZEN, hard cooked
DIARY,Kefir (fermented milk),57.45,Do not freeze,FROZEN,
DIARY,Pudding,57.45,Do not freeze,FROZEN,
DOUGH,Tube cans of biscuits,60.0,Do not freeze,FROZEN," rolls, pizza dough, etc."
SOY,Soy or rice beverage,161.44,Do not freeze,FROZEN, refrigerated
SOY,Miso,161.44,Do not freeze,FROZEN,
FISH,Caviar,68.67,Do not freeze,FROZEN," fresh, in jar"
PROCESSED_MEAT,Ham,41.28,Do not freeze,FROZEN," canned (""keep refrigerated"" label)"
FRUIT,Apricots,30.0,Do not freeze,FROZEN,
FRUIT,Avocados,30.0,Do not freeze,FROZEN,
FRUIT,Citrus Fruit,30.0,Do not freeze,FROZEN,
FRUIT,Kiwi Fruit,30.0,Do not freeze,FROZEN,
FRUIT,Papaya,30.0,Do not freeze,FROZEN, mango
FRUIT,Pears,30.0,Do not freeze,FROZEN, Plums
VEGETABLES,Artichokes,36.58,Do not freeze,FROZEN, whole
VEGETABLES,Cucumbers,36.58,Do not freeze,FROZEN,
VEGETABLES,Lettuce,36.58,Do not freeze,FROZEN, iceberg
VEGETABLES,Lettuce,36.58,Do not freeze,FROZEN, leaf
VEGETABLES,Radishes,36.58,Do not freeze,FROZEN,
FROZEN_ITEM,Fish,60.89,Do not defrost. Cook frozen.,THAWED, breaded
FROZEN_ITEM,TV Dinners,60.89,Do not defrost. Cook frozen.,THAWED," entrees,  breakfast"
DELI_ITEM,Commercial brand vacuum packed dinners with USDA seal,46.92,Do not freeze,FROZEN,
DELI_ITEM,Salads containing meat,46.92,Do not freeze,FROZEN," fish, poultry or eggs"
DELI_ITEM,Salads,46.92,Do not freeze,FROZEN, vegetable
DELI_ITEM,Olives,46.92,Do not freeze,FROZEN,
DELI_ITEM,Pudding,46.92,Do not freeze,FROZEN,
DELI_ITEM,Fruit,46.92,Do not freeze,FROZEN, cut
SHELF_ITEM,Gravy,232.77,Use entire can,SHELF, jars and cans
SHELF_ITEM,Gravy,232.77,Mix entire packet,SHELF, dry gravy mixes
SHELF_ITEM,Rice,232.77,Use all,SHELF, flavored or herb mixes
